Size,Chest,Shoulder,Front_Length,Sleeve_length
XXL,22.2,19.7,30.8,9.4
XXL,22.4,19.6,31.1,9.5
XXL,21.9,19.6,30.7,9.3
XXL,22.2,19.7,30.6,9.7
XXL,22.3,19.8,31.0,9.3
XXL,22.2,19.8,31.1,9.5
XXL,22.3,19.3,30.9,9.5
XXL,22.3,19.7,30.5,9.4
XXL,22.0,19.4,30.7,9.5
XXL,22.1,19.4,31.0,9.3
XXL,22.0,19.8,30.7,9.1
XXL,21.9,19.7,30.6,9.4
XXL,22.4,19.6,31.1,9.5
XXL,22.3,19.6,30.6,9.5
XXL,22.3,19.6,30.6,9.2
XXL,22.0,19.8,30.8,9.5
XXL,22.3,19.5,31.1,9.4
XXL,22.3,19.8,30.8,9.6
XXL,22.1,19.7,30.9,9.5
XXL,21.9,19.7,30.5,9.1
XXL,22.2,19.6,30.7,9.6
XXL,22.3,19.6,30.5,9.3
XXL,21.8,19.7,31.0,9.6
XXL,21.9,19.6,30.8,9.3
XXL,22.4,19.8,31.0,9.4
XXL,22.2,19.8,30.9,9.3
XXL,22.2,19.6,30.8,9.2
XXL,22.1,19.6,30.9,9.4
XXL,22.2,19.6,30.8,9.6
XXL,22.5,19.8,30.9,9.6
XXL,22.4,19.8,31.0,9.2
XXL,22.3,19.5,30.8,9.5
XXL,22.0,19.7,30.5,9.3
XXL,22.4,19.8,30.6,9.5
XXL,22.2,19.7,30.9,9.6
XXL,22.2,19.7,30.8,9.4
XXL,22.2,19.8,30.9,9.5
XXL,21.9,19.9,30.9,9.4
XXL,22.2,19.7,30.6,9.4
XXL,22.2,19.5,30.9,9.2
XXL,22.3,19.8,30.7,9.6
XXL,22.3,19.8,30.4,9.5
XXL,22.2,19.5,30.9,9.6
XXL,22.2,19.7,30.8,9.3
XXL,22.4,19.8,31.1,9.4
XXL,22.1,19.7,30.4,9.3
XXL,22.2,19.6,30.7,9.5
XXL,22.2,19.8,30.8,9.4
